,Unnamed: 0,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,year,month,pct_change,Trend,21 moving average,34 moving average,average,std 20,std14,upperband,lowerband,open-close,low-high,5_day_rolling,5_day_rolling_std,Action
21,21,BAJFINANCE,EQ,2017-06-13,1364.95,1374.0,1380.0,1361.0,1362.0,1371.5,1373.62,435644,598410870.9,22238,190154,43.65,2017,6,0.479871058,No change,1319.790476190476,,1338.5071428571428,31.897762503775358,31.897762503775358,1402.3026678646936,1274.711617849592,-0.1819505094614265,1.396032329169728,0.5191062757999998,0.8677008223433477,-1.0
22,22,BAJFINANCE,EQ,2017-06-14,1371.5,1374.2,1375.0,1354.0,1360.0,1361.0,1365.29,634727,866584207.5,29134,339284,53.45,2017,6,-0.765585126,Slight negative,1320.4214285714286,,1345.8035714285713,22.604309189976266,22.604309189976266,1391.0121898085238,1300.594953048619,-0.9605588706156342,1.55096011816839,0.26873117999999974,1.0425372341632007,1.0
23,23,BAJFINANCE,EQ,2017-06-15,1361.0,1361.1,1413.0,1352.2,1409.3,1405.25,1386.17,1569774,2175971915.0,46282,740293,47.16,2017,6,3.251285819,Among top gainers,1324.252380952381,,1352.05,26.085421805468897,26.085421805468897,1404.2208436109374,1299.8791563890622,3.2436999485710154,4.496376275698857,0.6427719867999997,1.6812429344747597,1.0
24,24,BAJFINANCE,EQ,2017-06-16,1405.25,1415.0,1424.85,1403.3,1406.0,1410.3,1415.04,824516,1166727045.0,36654,332550,40.33,2017,6,0.35936666100000003,No change,1328.8119047619048,,1359.3964285714285,27.024436692952953,27.024436692952953,1413.4453019573346,1305.3475551855229,-0.3321554770318053,1.53566593030713,0.4921293463999998,1.6622608347897778,-1.0
25,25,BAJFINANCE,EQ,2017-06-19,1410.3,1405.2,1421.7,1395.6,1400.1,1399.85,1405.58,426223,599091881.1,20625,170557,40.02,2017,6,-0.740977097,Slight negative,1334.0833333333333,,1364.9892857142854,26.68964203128685,26.68964203128685,1418.3685697768594,1311.610001651712,-0.3807287218901321,1.870163370593303,0.5167922629999998,1.6378397765137553,1.0
26,26,BAJFINANCE,EQ,2017-06-20,1399.85,1407.7,1432.9,1395.05,1411.5,1409.6,1418.2,781161,1107841162.0,38166,294753,37.73,2017,6,0.6965031970000001,Slight positive,1342.0571428571425,,1370.8928571428567,26.769068380838608,26.769068380838608,1424.430993904534,1317.3547203811795,0.1349719400440338,2.71316440270959,0.5601186907999998,1.639483415729896,1.0
27,27,BAJFINANCE,EQ,2017-06-21,1409.6,1404.8,1426.0,1401.0,1419.9,1416.65,1416.69,449181,636348673.3,23993,170175,37.89,2017,6,0.500141884,Slight positive,1350.7666666666667,,1377.2714285714285,26.22932676256805,26.22932676256805,1429.7300820965647,1324.8127750462925,0.8435364464692581,1.7844396859386153,0.8132640927999997,1.4728643111740298,-1.0
28,28,BAJFINANCE,EQ,2017-06-22,1416.65,1419.0,1427.0,1395.3,1400.0,1401.8,1410.93,477586,673842667.7,31890,240623,50.38,2017,6,-1.048247626,Negative,1359.2166666666665,,1380.167857142857,26.56084891442532,26.56084891442532,1433.2895549717075,1327.0461593140064,-1.2121212121212153,2.2719128502830968,-0.04664259620000033,0.790790030506263,-1.0
29,29,BAJFINANCE,EQ,2017-06-23,1401.8,1405.0,1415.5,1366.0,1400.0,1400.75,1391.87,620781,864045572.7,27030,213449,34.38,2017,6,-0.074903695,No change,1365.9738095238095,,1382.857142857143,26.605789256814102,26.605789256814102,1436.0687213707708,1329.6455643435147,-0.30249110320284694,3.623718887262079,-0.13349666740000035,0.7582269636701136,-1.0
30,30,BAJFINANCE,EQ,2017-06-27,1400.75,1400.0,1400.0,1336.75,1341.0,1349.95,1361.84,1053829,1435142569.0,37982,522564,49.59,2017,6,-3.626628592,Among top losers,1367.5047619047618,,1383.8071428571427,25.019114670609003,25.019114670609003,1433.8453721983608,1333.7689135159246,-3.574999999999997,4.731625210398354,-0.7106269664000002,1.7654442623557358,1.0
31,31,BAJFINANCE,EQ,2017-06-28,1349.95,1341.0,1377.0,1313.9,1371.0,1372.35,1353.9,998218,1351490429.0,30259,430604,43.14,2017,6,1.659320716,Positive,1370.5952380952376,,1385.8928571428567,22.454722452961747,22.454722452961747,1430.8023020487806,1340.9834122369334,2.337807606263975,4.8024963848085775,-0.5180634626000002,1.9948939182023884,1.0
32,32,BAJFINANCE,EQ,2017-06-29,1372.35,1379.0,1394.85,1366.5,1369.65,1376.3,1381.08,726869,1003865048.0,17813,296476,40.79,2017,6,0.287827449,No change,1373.2023809523807,,1386.935714285714,21.566163210093237,21.566163210093237,1430.0680407059006,1343.8033878655274,-0.19579405366207725,2.0746432491767224,-0.5605263496000003,1.969905424710555,-1.0
33,33,BAJFINANCE,EQ,2017-06-30,1376.3,1367.6,1380.0,1352.5,1373.55,1373.1,1364.0,496260,676901079.6,31246,216431,43.61,2017,6,-0.232507448,No change,1375.3999999999994,1344.8661764705882,1386.6678571428567,21.723778244328827,21.723778244328827,1430.1154136315147,1343.220300654199,0.402164375548406,2.033271719038817,-0.39737831400000023,1.9531223385882168,1.0
34,34,BAJFINANCE,EQ,2017-07-03,1373.1,1380.0,1390.0,1366.5,1384.0,1387.15,1380.67,446514,616490664.5,18913,193216,43.27,2017,7,1.023232103,Positive,1378.2476190476186,1346.4602941176472,1388.2535714285711,20.807464121963434,20.807464121963434,1429.8684996724978,1346.6386431846445,0.5181159420289921,1.7197219173069889,-0.17775115440000022,2.0574080239945793,-1.0
35,35,BAJFINANCE,EQ,2017-07-04,1387.15,1390.0,1408.75,1376.55,1378.0,1379.55,1388.07,704342,977677586.1,23191,350690,49.79,2017,7,-0.547885953,Slight negative,1379.1190476190475,1347.3955882352946,1388.828571428571,20.416431111745307,20.416431111745307,1429.6614336520615,1347.9957092050806,-0.7517985611510825,2.339181286549711,0.4379973733999997,0.905293329658695,1.0
36,36,BAJFINANCE,EQ,2017-07-05,1379.55,1375.0,1407.0,1370.1,1399.0,1398.55,1391.6,643929,896093763.4,25001,298889,46.42,2017,7,1.377260701,Positive,1380.8071428571427,1349.564705882353,1391.5107142857141,18.888663455703767,18.888663455703767,1429.2880411971216,1353.7333873743064,1.7127272727272695,2.6932340705058095,0.38158537039999973,0.8143858685967504,1.0
37,37,BAJFINANCE,EQ,2017-07-06,1398.55,1398.9,1413.5,1392.35,1397.5,1399.3,1404.77,418130,587376329.2,25318,178634,42.72,2017,7,0.053626971,No change,1383.790476190476,1352.0573529411765,1391.0857142857135,18.62078479478264,18.62078479478264,1428.327283875279,1353.8441446961485,0.028593895203364323,1.5190146155779862,0.33474527479999966,0.827752010419336,-1.0
