Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,year,month,pct_change,Trend
BAJFINANCE,EQ,2017-06-06,1363.1,1363.4,1367.9,1325,1333.65,1336.65,1342.1,601678,807514827.4,22461,242587,40.32,2017,6,-1.940429902,Negative
BAJFINANCE,EQ,2017-06-07,1336.65,1341.1,1360,1335.1,1341.3,1343.15,1346.68,550988,742007098,15482,219513,39.84,2017,6,0.486290353,No change
BAJFINANCE,EQ,2017-06-08,1343.15,1344.9,1372,1344.7,1360,1361.7,1360.76,570819,776748073.5,19214,220896,38.7,2017,6,1.381081785,Positive
BAJFINANCE,EQ,2017-06-09,1361.7,1358,1382,1343.7,1370,1376.85,1367.45,530582,725541900.2,23351,178831,33.7,2017,6,1.112579863,Positive
BAJFINANCE,EQ,2017-06-12,1376.85,1369.95,1383,1356.55,1369,1364.95,1367.4,370028,505978055.5,14815,103847,28.06,2017,6,-0.86429168,Slight negative
BAJFINANCE,EQ,2017-06-13,1364.95,1374,1380,1361,1362,1371.5,1373.62,435644,598410870.9,22238,190154,43.65,2017,6,0.479871058,No change
BAJFINANCE,EQ,2017-06-14,1371.5,1374.2,1375,1354,1360,1361,1365.29,634727,866584207.5,29134,339284,53.45,2017,6,-0.765585126,Slight negative
BAJFINANCE,EQ,2017-06-15,1361,1361.1,1413,1352.2,1409.3,1405.25,1386.17,1569774,2175971915,46282,740293,47.16,2017,6,3.251285819,Among top gainers
BAJFINANCE,EQ,2017-06-16,1405.25,1415,1424.85,1403.3,1406,1410.3,1415.04,824516,1166727045,36654,332550,40.33,2017,6,0.359366661,No change
BAJFINANCE,EQ,2017-06-19,1410.3,1405.2,1421.7,1395.6,1400.1,1399.85,1405.58,426223,599091881.1,20625,170557,40.02,2017,6,-0.740977097,Slight negative
BAJFINANCE,EQ,2017-06-20,1399.85,1407.7,1432.9,1395.05,1411.5,1409.6,1418.2,781161,1107841162,38166,294753,37.73,2017,6,0.696503197,Slight positive
BAJFINANCE,EQ,2017-06-21,1409.6,1404.8,1426,1401,1419.9,1416.65,1416.69,449181,636348673.3,23993,170175,37.89,2017,6,0.500141884,Slight positive
BAJFINANCE,EQ,2017-06-22,1416.65,1419,1427,1395.3,1400,1401.8,1410.93,477586,673842667.7,31890,240623,50.38,2017,6,-1.048247626,Negative
BAJFINANCE,EQ,2017-06-23,1401.8,1405,1415.5,1366,1400,1400.75,1391.87,620781,864045572.7,27030,213449,34.38,2017,6,-0.074903695,No change
BAJFINANCE,EQ,2017-06-27,1400.75,1400,1400,1336.75,1341,1349.95,1361.84,1053829,1435142569,37982,522564,49.59,2017,6,-3.626628592,Among top losers
BAJFINANCE,EQ,2017-06-28,1349.95,1341,1377,1313.9,1371,1372.35,1353.9,998218,1351490429,30259,430604,43.14,2017,6,1.659320716,Positive
BAJFINANCE,EQ,2017-06-29,1372.35,1379,1394.85,1366.5,1369.65,1376.3,1381.08,726869,1003865048,17813,296476,40.79,2017,6,0.287827449,No change
BAJFINANCE,EQ,2017-06-30,1376.3,1367.6,1380,1352.5,1373.55,1373.1,1364,496260,676901079.6,31246,216431,43.61,2017,6,-0.232507448,No change
BAJFINANCE,EQ,2017-07-03,1373.1,1380,1390,1366.5,1384,1387.15,1380.67,446514,616490664.5,18913,193216,43.27,2017,7,1.023232103,Positive
BAJFINANCE,EQ,2017-07-04,1387.15,1390,1408.75,1376.55,1378,1379.55,1388.07,704342,977677586.1,23191,350690,49.79,2017,7,-0.547885953,Slight negative
BAJFINANCE,EQ,2017-07-05,1379.55,1375,1407,1370.1,1399,1398.55,1391.6,643929,896093763.4,25001,298889,46.42,2017,7,1.377260701,Positive
BAJFINANCE,EQ,2017-07-06,1398.55,1398.9,1413.5,1392.35,1397.5,1399.3,1404.77,418130,587376329.2,25318,178634,42.72,2017,7,0.053626971,No change
BAJFINANCE,EQ,2017-07-07,1399.3,1398.5,1403.6,1387.4,1393,1391.7,1395.07,202005,281811710.3,8185,75611,37.43,2017,7,-0.543128707,Slight negative
BAJFINANCE,EQ,2017-07-10,1391.7,1451.55,1451.55,1395.1,1411.55,1412.8,1410.24,150018,211560811.1,3910,96462,64.3,2017,7,1.51613135,Positive
BAJFINANCE,EQ,2017-07-11,1412.8,1419.4,1431,1409.6,1422,1419.2,1422.27,665556,946603580.4,28991,319337,47.98,2017,7,0.453001133,No change
BAJFINANCE,EQ,2017-07-12,1419.2,1424.5,1452,1420,1452,1443.7,1435.9,654934,940419643,16957,308664,47.13,2017,7,1.72632469,Positive
BAJFINANCE,EQ,2017-07-13,1443.7,1452,1489.5,1450.9,1482.1,1485.9,1473.08,1011798,1490462163,45659,496745,49.1,2017,7,2.923044954,Positive
BAJFINANCE,EQ,2017-07-14,1485.9,1485,1508.65,1470.65,1495,1499.4,1488.5,570522,849222446,19927,262514,46.01,2017,7,0.908540279,Slight positive
BAJFINANCE,EQ,2017-07-17,1499.4,1504.95,1549.7,1488.05,1538.55,1538.5,1525.27,947006,1444438289,29590,327928,34.63,2017,7,2.607709751,Positive
BAJFINANCE,EQ,2017-07-18,1538.5,1537.95,1545.15,1507,1514.95,1512.35,1524.5,501708,764854066.7,24617,215197,42.89,2017,7,-1.699707507,Negative
BAJFINANCE,EQ,2017-07-19,1512.35,1519.65,1577.4,1515,1544,1541.85,1548.11,2655273,4110642035,92367,653995,24.63,2017,7,1.950606672,Positive
BAJFINANCE,EQ,2017-07-20,1541.85,1551,1608,1547.1,1587.25,1595.35,1587.31,2169635,3443890632,71082,733445,33.8,2017,7,3.469857639,Among top gainers
BAJFINANCE,EQ,2017-07-21,1595.35,1598.9,1631.5,1585,1623,1621.35,1613.88,1380541,2228031116,54293,459973,33.32,2017,7,1.629736421,Positive
BAJFINANCE,EQ,2017-07-24,1621.35,1633,1637.3,1587.95,1602,1597.4,1609.17,835475,1344419753,38922,320470,38.36,2017,7,-1.477164092,Negative
BAJFINANCE,EQ,2017-07-25,1597.4,1606.9,1632.9,1600,1632.7,1627.5,1621.22,813854,1319436780,35029,289558,35.58,2017,7,1.884312007,Positive
BAJFINANCE,EQ,2017-07-26,1627.5,1636,1695.75,1630,1691.15,1687.15,1665.45,1475906,2458050594,49277,490085,33.21,2017,7,3.665130568,Among top gainers
BAJFINANCE,EQ,2017-07-27,1687.15,1704,1739.8,1671.1,1673.9,1679.35,1709.8,1955562,3343620960,62265,565168,28.9,2017,7,-0.46231811,No change
BAJFINANCE,EQ,2017-07-28,1679.35,1672,1710.9,1662.55,1702.2,1701.35,1694.75,926268,1569796006,38831,231827,25.03,2017,7,1.310030667,Positive
BAJFINANCE,EQ,2017-07-31,1701.35,1718,1724,1697.6,1705.65,1703.1,1708.39,576928,985615846.1,23982,229995,39.87,2017,7,0.102859494,No change
BAJFINANCE,EQ,2017-08-01,1703.1,1709.9,1727.9,1706.05,1718,1716.25,1718.82,692591,1190439655,31158,307909,44.46,2017,8,0.772121426,Slight positive
BAJFINANCE,EQ,2017-08-02,1716.25,1724.95,1726.2,1691.1,1705,1707.2,1708.87,396171,677006159.4,16443,94058,23.74,2017,8,-0.527312454,Slight negative
BAJFINANCE,EQ,2017-08-03,1707.2,1714,1729,1698.05,1708,1701.75,1713.46,775709,1329143630,38229,345257,44.51,2017,8,-0.319236176,No change
